"资讯ID","资讯标题","分类(以|分割)","关键词(以,分割)"
"3756","深圳湾广场建设拉开序幕 后海一宗地46.6亿元成功出让",,
"3781","杨兴铭主持召开2019年第六次招商引资项目评审会",,
"3783","黄进调研棚户区改造、四个三重大生态工程、民生项目、创文等工作",,
"3785","李德璋到襄州调研项目建设",,
"3789","黄进到黄集镇、伙牌镇调研精准扶贫工作",,
"3791","黄进：努力推进全区教育事业持续健康发展",,
"3793","“庆祝新中国成立70周年——网络大V看湖北”采访团走进襄州区",,
"3921","深圳市罗湖区东晓街道天乐大厦“5.13”较大中毒和窒息事故调查报告",,"较大事故，有限空间事故"
"3922","深圳市罗湖区东晓街道天乐大厦“5.13”较大中毒和窒息事故调查报告",,"有限空间事故"
"3946","什么是安全？",,"安全，安全生产，权利，义务"
"3948","生产安全事故管理",,"事故，管理"
"3949","深圳",,
"3950","安全生产领域五大必懂定律",,"安全，定律，海因里希"
"3951","如何设置安全生产管理机构和人员？",,"安全管理人员"
"3952","生产经营单位 人人有责 各负其责",,"责任，安全生产责任制，主要负责人"
"3955","风险分级管控和隐患排查治理",,"风险，隐患"
"3956","重大危险源管理",,"重大危险源，分级"
"3959","企业如何做好应急管理？",,"应急管理，应急响应，应急准备"
"3961","企业安全生产标准化如何做？",,"标准化，一级要素，分级"
"3964","深圳市龙岗区平湖街道侨联办公楼后门雨棚“6·6”坍塌事故调查报告",,"较大事故"
"3965","关于宝安区福海街道福州大道至松福大道路口“10·8”一般道路交通事故的调查报告",,"交通事故，一般事故"
"3966","关于福海街道大空港片区水环境综合整治项目工地“12·18”（2018年）车辆伤害死亡事故的调查报告",,"车辆伤害，一般事故"
"3967","关于福永街道凤凰社区御林山景旁空地“10·29”（2018）起重伤害死亡事故的调查报告",,"起重伤害，一般事故"
"3968","关于沙井街道沙江西路延伸段（沙井新和路-广深高速西辅路）工地“12·11”（2018）高处坠落死亡事故的调查报告",,"高坠事故，一般事故"
"3969","关于沙井街道深圳市蓝宝实业有限公司 “11·12”（2018）触电死亡事故的调查报告",,"触电事故，一般事故"
"3970","关于沙井街道新沙路以南工业区新增应急污水主管工程工地“12.24”（2018）坍塌死亡事故的调查报告",,"坍塌事故，一般事故"
"3971","刘庆生：切实增强做好安全防范工作的政治自觉和责任担当",,"重特大安全事故,灾害风险,会议,"
"3972","断线蓝风筝",,
"3975","马兴瑞：压实责任精准发力确保安全稳定",,"马兴瑞,安全生产,电视电话会"
"3976","习近平：牢固树立安全发展理念",,"习近平,安全生产,安全发展,"
"3977","习近平关于加强安全生产和汛期安全防范工作的重要讲话精神",,
"3978","习近平在省部级主要领导干部坚持底线思维着力防范化解重大风险专题研讨班开班式上的重要讲话精神",,
"3979","关于石岩街道宝源社区料坑新村西六巷15号私宅加固工程工地“12·5”（2018）物体打击死亡事故的调查报告",,"物体打击，一般事故"
"3980","中华人民共和国安全生产法",,
"3981","李克强对全国安全生产电视电话会议作出重要批示",,
"3982","中华人民共和国标准化法",,
"3983","中华人民共和国特种设备安全法",,
"3984","中华人民共和国消防法",,
"3985","习近平在中央政治局常委会第28次会议上关于安全生产工作的重要讲话精神",,
"3986","中华人民共和国宪法",,
